Indus ID,Ref. No,District,Survey  Date,Site Category,Tower Type,Existing no Of Poles,Tower  Config,Tower Height,Normal,EB Phase,EB Availability (Hours),A/C-1(TR),Site  type,DG/NonDG,Static DG-Kva,Static  DG-Make,SMPS 1 Make,SMPS Module Capacity(W),No. of BB Connected to the SMPS,Opco Present,Tenancy,Final Telecom Load (in KW)
IN-1093301,RRL,Pune,2022-02-07,Natural Cooling with DG,GBT,0,Tubular,40,Normal,3,20,NCU,COD,DG,15,Kirloskar,Delta,4000,2,Airtel VIL BSNL,3,7.5474
IN-3001231,RRL,Pune,2022-02-07,OD without DG,RTP,2,Tubular,9,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.9131
IN-1053328,RRL,North Goa,2022-02-07,Natural Cooling with DG,GBT,0,Tubular,50,HUB,3,20,NCU,COD,DG,40,Mahindra,NexGen Emerson,4000,1,Airtel VIL,2,7.55834
IN-1054830,RRL,Pune,2022-02-07,ID+OD with 1.8TR,RTT,0,Tubular,18,Hub,3,20,0.9,ID AC,DG,25,Mahindra,Emerson,3200,2,Airtel VIL,2,10.2242
IN-1112850,RRL,North Goa,2022-02-07,Natural Cooling with DG,RTT,0,Angular,12,HUB,3,20,NCU,COD,DG,25,Mahindra,Delta,4000,2, Airtel VIL Reliance Jio,3,9.074038
IN-1301410,RRL,North Goa,2022-02-07,OD without DG,RTP,1,Tubular,3,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,Delta,4000,1,Airtel,1,2.09748
IN-1053778,RRL,North Goa,2022-02-07,Natural Cooling with DG,GBT,0,Tubular,55,HUB,3,20,NCU,COD,DG,40,Mahindra,Delta,4000,2,Airtel VIL BSNL,3,8.943974
IN-1280992,RRL,South Goa,2022-02-08,OD without DG,RTP,3,Tubular,9,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,Delta,4000,1,Airtel,1,1.597436
IN-1599535,RRL,Bhandara,2022-02-08,OD without DG,GBT,0,Tubular,40,Normal,1,22,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,1,Airtel,1,1.75712
IN-1283160,RRL,South Goa,2022-02-08,OD without DG,RTT,0,Angular,15,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,IIPMS Delta,4000,1,Airtel Reliance Jio,2,5.511972
IN-1370368,RRL,Goa,2022-02-08,OD without DG,RTT,0,Angular,12,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,2, Airtel VIL Reliance Jio,3,10.692
IN-1092295,RRL,Washim,2022-02-09,ID+OD with 3.5TR,GBT,0,Angular,50,Hub,3,20,3.5,ID AC,DG,40,Mahindra,Delta,4000,2, Airtel VIL Reliance Jio,3,12.259572
IN-1066637,RRL,Beed,2022-02-09,OD with DG,GBT,0,Tubular,40,Normal,3,8,Non AC,OD,DG,25,Kirloskar,IIPMS Delta,4000,2,Airtel VIL,2,7.836606
IN-1350593,RRL,South Goa,2022-02-09,OD without DG,COW,0,Angular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,2, Airtel VIL Reliance Jio,3,6.8888
IN-1250033,RRL,Nashik,2022-02-09,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Mahindra,Emerson,3200,1,Airtel,1,1.42576
IN-1101889,RRL,Latur,2022-02-09,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,25,Eicher,Emerson,3200,2, Airtel VIL Reliance Jio,3,8.26767
IN-1073137,RRL,Latur,2022-02-09,Natural Cooling without DG,RTT,0,Tubular,9,Normal,3,22,NCU,COD,Non DG,Non DG,Non DG,Delta,4000,2,Airtel VIL,2,8.36205
IN-1384464,RRL,SOLAPUR,2022-02-10,OD without DG,GBM,0,Tubular,30,Normal,3,16,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.8685
IN-1253684,RRES,Nagpur,2022-02-10,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,15,Mahindra,Delta,4000,1,VIL Reliance Jio,2,4.8006
IN-1093363,RRES,Nagpur,2022-02-10,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,20,NCU,COD,DG,15,Eicher,Delta,4000,1,Airtel VIL Reliance Jio BSNL,4,5.022
IN-1093365,RRES,Nagpur,2022-02-10,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,20,NCU,COD,DG,15,Ashok Leyland,Delta,4000,2,VIL Reliance Jio,2,4.0068
IN-1835089,RRL,AHMEDNAGAR,2022-02-11,OD without DG,GBT,0,Angular,40,Normal,1,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.36975
IN-1503381,RRES,Sangli,2022-02-12,OD Without DG,GBM,0,Tubular,30,Normal,1,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,2,Airtel BSNL,2,3.58496
IN-1388383,RRES,Thane,2022-02-14,OD without DG,RTP,2,Tubular,9,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.01453
IN-3027836,RRES,Thane,2022-02-14,OD without DG,GBM,0,Tubular,40,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.88838
IN-1296894,RRES,Thane,2022-02-14,OD without DG,RTP,3,Tubular,6,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,IIPMS Delta,4000,1,Airtel,1,3.765891
IN-1310147,RRL,Dhule,2022-02-16,OD without DG,RTT,0,Angular,15,Normal,3,22,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,2,Airtel VIL,2,6.51918
IN-1238521,RRL,Washim,2022-02-16,Natural Cooling with DG,RTT,0,Angular,18,Normal,3,18,NCU,COD,DG,15,Kirloskar,Emerson,3200,2,Airtel VIL,2,5.43744
IN-1325548,RRL,Pune,2022-02-16,Natural Cooling with DG,RTT,0,Angular,15,Normal,3,20,NCU,COD,DG,25,Mahindra,Emerson,3200,2,Airtel VIL,2,7.085
IN-1054277,RRL,Akola,2022-02-16,OD without DG,RTT,0,Tubular,21,Hub,3,14,Non AC,OD,Non DG,Non DG,Non DG,Delta,4000,2,Airtel VIL,2,6.431
IN-1052793,RRL,Thane,2022-02-16,Natural Cooling with DG,GBT,0,Tubular,40,HUB,3,20,NCU,COD,DG,40,Mahindra,Emerson,3200,2,Airtel VIL Tata,3,9.90474
IN-1053655,RRL,Thane,2022-02-16,Natural Cooling with DG,GBT,0,Angular,60,Hub,3,18,NCU,COD,DG,15,Eicher,Delta,4000,1,Airtel,1,3.7044
IN-1078238,RRL,Kolhapur,2022-02-17,FCU with DG,RTT,0,Tubular,15,Normal,3,22,FCU,COD,DG,25,Mahindra,Emerson,3200,2,Airtel VIL,2,10.17927
IN-1303709,RRL,Kolhapur,2022-02-17,OD without DG,RTT,0,Angular,18,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,Delta,4000,2,VIL,1,6.5945
IN-1330412,RRL,Pune,2022-02-17,OD without DG,GBM,0,Tubular,30,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,VIL,1,4.00575
IN-1271648,RRL,Jalna,2022-02-17,FCU with DG,GBT,0,Angular,50,Normal,3,16,FCU,COD,DG,15,Mahindra,NexGen Emerson,4000,2,Airtel VIL,2,3.77685
IN-1025085,RRL,Aurangabad,2022-02-17,FCU with DG,RTT,0,Tubular,19.5,Normal,3,18,FCU,COD,DG,15,Kirloskar,Emerson,3200,1,VIL,1,3.924
IN-1086186,RRL,Nagpur,2022-02-17,OD with DG,GBT,0,Tubular,50,Hub,3,20,Non AC,OD,DG,15,Eicher,Delta,4000,2,Airtel VIL,2,4.6416
IN-1336451,RRL,Chandrapur,2022-02-17,OD without DG,COW,0,Angular,30,Normal,3,22,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,2.04136
IN-1025281,RRL,Pune,2022-02-17,OD with DG,RTT,0,Angular,12,Normal,3,20,Non AC,OD,DG,15,Mahindra,Delta,4000,2,VIL Reliance Jio,2,8.071957
IN-1069269,RRL,Pune,2022-02-17,OD with DG,RTT,0,Angular,15,Normal,3,18,Non AC,OD,DG,15,Kirloskar,Delta,4000,1,VIL Reliance Jio,2,7.14495
IN-1025115,RRL,Nanded,2022-02-17,ID+OD with 3.76TR,RTT,0,Angular,24,Hub,3,20,3.76,ID AC,DG,25,Kirloskar,Delta,4000,2,Airtel VIL,2,8.0907
IN-1490844,RRL,Nanded,2022-02-17,OD without DG,RTP,3,Tubular,9,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,2,Airtel VIL,2,3.5904
IN-1536690,RRL,Nanded,2022-02-17,OD without DG,RTT,0,Angular,12,Normal,3,19,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,2,Airtel VIL,2,3.8211
IN-1298890,RRL,Nashik,2022-02-17,OD with DG,GBM,0,Tubular,30,Normal,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,2,Airtel VIL BSNL,3,9.761136
IN-1024489,RRL,Jalna,2022-02-17,ID+OD with 3.76TR,GBT,0,Angular,80,Hub,3,20,3.76,ID AC,DG,25,Mahindra,Delta,4000,2,VIL Reliance Jio,2,5.3714
IN-1231039,RRL,Jalna,2022-02-17,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,15,Kirloskar,Emerson,3200,2,VIL Reliance Jio,2,5.43164
IN-1024890,RRL,Goa,2022-02-17,ID+OD with 3.76TR,RTT,0,Tubular,19.5,HUB,3,20,3.76,ID AC,DG,40,Mahindra,Delta,4000,1, Airtel VIL Reliance Jio,3,8.66345
IN-1339176,RRL,Nagpur,2022-02-17,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,2,Airtel VIL,2,9.71264
IN-1688557,RRL,Nagpur,2022-02-17,OD without DG,RTP,3,Tubular,6,Normal,3,22,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,2,Airtel VIL,2,3.4587
IN-1053918,RRL,Hingoli,2022-02-17,Natural Cooling with DG,GBT,0,Tubular,55,Hub,3,18,NCU,COD,DG,15,Eicher,Delta,4000,2,VIL Reliance Jio,2,4.50186
IN-1092338,RRL,Nanded,2022-02-17,Natural Cooling with DG,GBT,0,Angular,50,Hub,3,18,NCU,COD,DG,25,Mahindra,NexGen Emerson,4000,1, Airtel VIL Reliance Jio,3,6.981
IN-1246316,RRL,Pune,2022-02-17,Natural Cooling with DG,RTT,0,Angular,18,Normal,3,20,NCU,COD,DG,15,Mahindra,Delta,4000,2,VIL,1,3.645
IN-1236247,RRL,Pune,2022-02-17,FCU with DG,RTT,0,Tubular,9,Hub,3,20,FCU,COD,DG,25,Eicher,Delta,4000,2,VIL Reliance Jio,2,7.163146
IN-1847473,RRL,Ahmednagar,2022-02-17,OD with DG,RTT,0,Angular,12,Normal,3,16,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,2.659888
IN-1054568,RRL,Kolhapur,2022-02-17,ID+OD with 3.76TR,RTT,0,Tubular,15,HUB,3,22,3.76,ID AC,DG,25,Kirloskar,NexGen Delta,4000,2,Airtel VIL,2,6.622336
IN-1052292,RRL,Ahmednagar,2022-02-17,ID+OD with 3.76TR,GBT,0,Angular,45,Hub,3,16,3.76,ID AC,DG,25,Kirloskar,Delta,4000,2,Airtel VIL,2,7.044708
IN-1052402,RRL,Kolhapur,2022-02-17,ID+OD with 3TR,GBT,0,Angular,50,HUB,3,18,3,ID AC,DG,15,Cummins,Delta,4000,1,Airtel,1,3.2076
IN-1053673,RRL,Satara,2022-02-17,ID+OD with 3TR,GBT,0,Angular,80,Hub,3,16,3,ID AC,DG,25,Eicher,Delta,4000,2,Airtel VIL,2,8.6496
IN-1054375,RRL,Thane,2022-02-17,OD with DG,RTT,0,Angular,15,HUB,3,20,Non AC,OD,DG,25,Mahindra,NexGen Emerson,4000,2,Airtel VIL,2,6.49858
IN-1235608,RRL,Aurangabad,2022-02-18,Natural Cooling without DG,RTT,0,Angular,15,Normal,3,18,NCU,COD,Non DG,Non DG,Non DG,NexGen Emerson,4000,2,VIL,1,3.6856
IN-1301814,RRES,South Goa,2022-02-18,OD without DG,RTP,2,Tubular,7.5 6,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,Delta,4000,1,VIL Reliance Jio,2,4.889385
IN-1137480,RRL,Aurangabad,2022-02-18,Natural Cooling without DG,RTT,0,Angular,15,Normal,3,16,NCU,COD,Non DG,Non DG,Non DG,Emerson,3200,1, Airtel VIL Reliance Jio,3,9.2511
IN-1091456,RRL,Parbhani,2022-02-18,Natural Cooling with DG,GBT,0,Angular,50,Hub,3,19,NCU,COD,DG,25,Mahindra,Emerson,3200,2, Airtel VIL Reliance Jio,3,7.44996
IN-1070096,RRL,Jalna,2022-02-18,ID+OD with 3TR,GBT,0,Angular,40,Hub,3,16,3,ID AC,DG,25,Mahindra,Delta,4000,2,VIL Reliance Jio,2,6.197316
IN-1236530,RRL,Pune,2022-02-18,Natural Cooling with DG,RTT,0,Angular,12,Normal,3,20,NCU,COD,DG,15,Sudhir,Emerson,3200,1,VIL,1,4.4388
IN-1275801,RRL,Pune,2022-02-18,OD with DG,GBT,0,Angular,40,Normal,3,20,Non AC,OD,DG,40,Mahindra,Delta,4000,2,Airtel VIL Reliance Jio BSNL,4,14.085675
IN-1275800,RRL,Pune City,2022-02-18,OD with DG,GBT,0,Angular,40,Normal,3,20,Non AC,OD,DG,40,Mahindra,NexGen Emerson,4000,2, Airtel VIL Reliance Jio,3,12.6228
IN-1053408,RRL,Kolhapur,2022-02-18,ID+OD with 3.76TR,GBT,0,Angular,60,HUB,3,20,3.76,ID AC,DG,25,Kirloskar,Delta,4000,2,Airtel VIL,2,6.81795
IN-1503948,RRL,Nashik,2022-02-18,OD without DG,RTT,0,Angular,15,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.071614
IN-1232405,RRL,Aurangabad,2022-02-18,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Mahindra,NexGen Emerson,4000,2,Airtel,1,5.8322
IN-1052554,RRL,Hingoli,2022-02-18,ID+OD with 4TR,GBT,0,Tubular,40,Hub,3,18,4,ID AC,DG,15,Kirloskar,Emerson,3200,1,Airtel,1,4.25151
IN-1055268,RRL,Sangli,2022-02-18,ID+OD with 3.5TR,RTT,0,Tubular,21,Normal,3,20,3.5,ID AC,DG,25,Mahindra,Emerson,3200,1, Airtel VIL Reliance Jio,3,8.1056
IN-1124425,RRL,Ratnagiri,2022-02-18,ID+OD with 3.76TR,RTT,0,Angular,24,HUB,3,20,3.76,ID AC,DG,15,Kirloskar,NexGen Emerson,4000,1,Airtel,1,3.536
IN-1325227,RRL,Nashik,2022-02-18,OD without DG,RTP,2,Tubular,9,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,Delta,4000,2,Airtel VIL,2,7.664106
IN-1121465,RRL,Nanded,2022-02-19,Natural Cooling with DG,RTT,0,Angular,24,Hub,3,19,NCU,COD,DG,15,Kirloskar,NexGen Emerson,4000,1,VIL Reliance Jio,2,9.396
IN-1309473,RRL,Pune City,2022-02-19,OD with DG,GBM,0,Tubular,40,Normal,3,20,Non AC,OD,DG,15,Eicher,IIPMS Delta,4000,2, Airtel VIL Reliance Jio,3,7.54068
IN-1054621,RRL,Latur,2022-02-19,ID+OD with 3.76TR,RTT,0,Angular,18,Hub,3,16,3.76,ID AC,DG,25,Eicher,NexGen Delta,4000,2,Airtel Reliance Jio,2,7.956816
IN-1054410,RRL,Chandrapur,2022-02-19,Natural Cooling with DG,RTP,4,Tubular,9,Hub,3,22,NCU,COD,DG,15,Kirloskar,Emerson,3200,2,Airtel VIL BSNL,3,8.16146
IN-1052284,RRES,Pune,2022-02-19,OD with DG,GBT,0,Angular,30,Normal,Non EB,Non EB,Non AC,OD,DG,25,Mahindra,Delta,4000,2,Airtel,1,1.50213
IN-1078392,RRES,Solapur,2022-02-21,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,8,NCU,COD,DG,15,Kirloskar,Emerson,3200,1,VIL,1,2.64325
IN-1106022,RRES,Parbhani,2022-02-21,Natural Cooling with DG,GBT,0,Angular,40,Normal,3,18,NCU,COD,DG,15,Mahindra,Emerson,3200,1,VIL Reliance Jio,2,6.9654
IN-1094394,RRES,Nagpur,2022-02-21,Natural Cooling with DG,GBT,0,Angular,50,Hub,3,20,NCU,COD,DG,25,Mahindra,Emerson,3200,1,VIL,1,4.7142
IN-1097444,RRES,Hingoli,2022-02-21,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,19,NCU,COD,DG,15,Kirloskar,Delta,4000,2,VIL,1,2.65415
IN-1092094,RRES,Aurangabad,2022-02-21,FCU with DG,GBT,0,Angular,50,Normal,3,16,FCU,COD,DG,25,Mahindra,NexGen Emerson,4000,2,VIL Reliance Jio,2,6.92328
IN-1299604,RRES,Nagpur,2022-02-21,OD with DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL,1,1.811342
IN-1258371,RRES,Satara,2022-02-21,OD with DG,GBT,0,Angular,50,Normal,3,16,Non AC,OD,DG,10,Mahindra,Emerson,3200,1,VIL,1,2.5116
IN-1237587,RRES,Pune City,2022-02-21,Natural Cooling with DG,GBT,0,Angular,50,Hub,3,20,NCU,COD,DG,15,Mahindra,Delta,4000,2,VIL Reliance Jio,2,4.825156
IN-1251113,RRES,Nashik,2022-02-21,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,15,Mahindra,Delta,4000,2,VIL Reliance Jio,2,4.569882
IN-1024533,RRES,Wardha,2022-02-21,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,25,Mahindra,Emerson,3200,0,0,0,0
IN-1053076,RRL,Sangli,2022-02-21,ID+OD with 1.8TR,GBT,0,Tubular,40,Normal,3,16,0.9,ID AC,DG,25,Kirloskar,Delta,4000,2,Airtel VIL,2,8.60706
IN-1921479,RRL,Raigad,2022-02-21,OD without DG,GBT,0,Tubular,40,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.81005
IN-1024193,RRL,Solapur,2022-02-21,ID+OD with 3.76TR,GBT,0,Angular,40,Hub,3,8,3.76,ID AC,DG,25,Kirloskar,Delta,4000,2,Airtel VIL BSNL,3,9.248256
IN-1070032,RRES,Hingoli,2022-02-22,Natural Cooling with DG,GBT,0,Angular,40,Normal,3,18,NCU,COD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL Reliance Jio,2,5.83002
IN-1135041,RRES,Nanded,2022-02-22,Natural Cooling with DG,GBT,0,Angular,60,Normal,3,18,NCU,COD,DG,25,Mahindra,Emerson,3200,1,VIL,1,3.27429
IN-1132326,RRES,Hingoli,2022-02-22,Natural Cooling with DG,GBT,0,Angular,50,Hub,3,22,NCU,COD,DG,15,Mahindra,Delta,4000,2,VIL Reliance Jio,2,5.9841
IN-1110574,RRL,Kolhapur,2022-02-22,OD with DG,GBT,0,Angular,50,Normal,3,20,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL Reliance Jio,2,5.507208
IN-1250331,RRL,Beed,2022-02-22,OD with DG,GBT,0,Angular,50,Normal,3,16,Non AC,OD,DG,15,Mahindra,Delta,4000,1,VIL Reliance Jio,2,3.40983
IN-1108311,RRL,Beed,2022-02-22,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,16,NCU,COD,DG,15,Mahindra,Delta,4000,1,VIL Reliance Jio,2,3.49236
IN-1281183,RRL,Thane,2022-02-22,OD with DG,GBT,0,Angular,50,Normal,3,18,Non AC,OD,DG,10,Mahindra,NexGen Emerson,4000,1,VIL,1,1.0978
IN-1093290,RRL,Thane,2022-02-22,Natural Cooling with DG,GBT,0,Tubular,55,Normal,3,18,NCU,COD,DG,15,Eicher,NexGen Emerson,4000,1,VIL Reliance Jio,2,3.759873
IN-1054152,RRL,Pune,2022-02-22,Natural Cooling without DG,RTT,0,Tubular,6,Normal,3,22,NCU,COD,Non DG,Non DG,Non DG,Delta,4000,2,Airtel,1,3.31632
IN-1278024,RRL,Amravati,2022-02-22,OD with DG,RTT,0,Angular,21,Normal,3,20,Non AC,OD,DG,10,Mahindra,Delta,4000,2, Airtel VIL Reliance Jio,3,9.8318
IN-1093320,RRL,Nagpur,2022-02-22,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,15,NCU,COD,DG,15,Mahindra,IIPMS Delta,4000,2,VIL Reliance Jio,2,3.8896
IN-1255036,RRL,Hingoli,2022-02-22,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Kirloskar,Delta,4000,1,VIL,1,1.331976
IN-1093079,RRL,Solapur,2022-02-22,Natural Cooling without DG,RTT,0,Tubular,15,Normal,3,20,NCU,COD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel Reliance Jio,2,4.95144
IN-1073172,RRL,Solapur,2022-02-22,Natural Cooling with DG,RTT,0,Tubular,9,Hub,3,20,NCU,COD,DG,15,Mahindra,NexGen Delta,4000,1,Airtel VIL,2,5.488105
IN-1363048,RRL,Thane,2022-02-22,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,2, Airtel VIL Reliance Jio,3,7.99176
IN-1093226,RRL,Nanded,2022-02-22,Natural Cooling with DG,GBT,0,Tubular,50,Hub,3,16,NCU,COD,DG,25,Mahindra,Emerson,3200,2, Airtel VIL Reliance Jio,3,6.37942
IN-1102372,RRL,Nanded,2022-02-22,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,16,NCU,COD,DG,25,Mahindra,Emerson,3200,2,Airtel VIL Reliance Jio BSNL,4,4.6656
IN-1077657,RRL,Aurangabad,2022-02-22,FCU with DG,GBT,0,Tubular,50,Normal,3,18,FCU,COD,DG,15,Kirloskar,Emerson,3200,2, Airtel VIL Reliance Jio,3,6.59412
IN-1066324,RRL,Aurangabad,2022-02-22,OD with DG,GBT,0,Tubular,50,Normal,3,8,Non AC,OD,DG,25,Kirloskar,NexGen Emerson,4000,1,VIL BSNL,2,3.8368
IN-1106084,RRL,Aurangabad,2022-02-22,FCU with DG,GBT,0,Angular,40,Normal,3,16,FCU,COD,DG,15,Kirloskar,NexGen Emerson,4000,2,VIL Reliance Jio,2,3.91503
IN-1024118,RRL,Aurangabad,2022-02-22,Natural Cooling with DG,GBT,0,Angular,40,Hub,3,16,NCU,COD,DG,15,Mahindra,IIPMS Delta,4000,2,Airtel VIL,2,4.43352
IN-1077656,RRL,Aurangabad,2022-02-22,FCU with DG,GBT,0,Tubular,50,Normal,3,18,FCU,COD,DG,25,Mahindra,NexGen Delta,4000,2,VIL Reliance Jio,2,4.282128
IN-1255049,RRL,Hingoli,2022-02-22,OD with DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,DG,15,Mahindra,Delta,4000,2,VIL Reliance Jio,2,2.846186
IN-1053720,RRL,Thane,2022-02-22,ID+OD with 3.76TR,GBT,0,Angular,70,Hub,3,20,3.76,ID AC,DG,40,Mahindra,Delta,4000,1,Airtel VIL Tata,3,7.198578
IN-1419003,RRL,Raigad,2022-02-23,OD without DG,GBM,0,Tubular,30,Normal,1,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.5709
IN-1263604,RRES,Satara,2022-02-23,OD with DG,GBT,0,Angular,50,Normal,3,18,Non AC,OD,DG,10,Mahindra,NexGen Emerson,4000,1,Airtel,1,3.67744
IN-1361716,RRES,Aurangabad,2022-02-23,OD without DG,RTT,0,Angular,12,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.21392
IN-1378492,RRES,Jalgaon,2022-02-23,OD without DG,RTT,0,Angular,15,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.8935
IN-1054687,RRES,Nanded,2022-02-23,OD without DG,RTT,0,Tubular,12,Hub,3,19,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel Reliance Jio,2,6.9632
IN-1055168,RRES,Pune,2022-02-23,Natural Cooling without DG,RTP,7,Tubular,36,Hub,3,20,NCU,COD,Non DG,Non DG,Non DG,Emerson,3200,1,Airtel,1,3.0408
IN-1273132,RRL,Latur,2022-02-23,Natural Cooling without DG,GBT,0,Angular,40,Normal,3,20,NCU,COD,Non DG,Non DG,Non DG,IIPMS Delta,4000,2,VIL,1,0.8611
IN-1126945,RRL,Nashik,2022-02-23,Natural Cooling with DG,RTT,0,Angular,18,Normal,3,18,NCU,COD,DG,25,Mahindra,NexGen Emerson,4000,2,Airtel VIL BSNL,3,11.44297
IN-1257198,RRL,Parbhani,2022-02-23,ID+OD with 1.8TR,GBT,0,Angular,50,Normal,3,18,0.9,ID AC,DG,15,Mahindra,NexGen Emerson,4000,1,VIL Reliance Jio,2,6.54574
IN-1284126,RRL,Parbhani,2022-02-23,OD with DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,DG,15,Kirloskar,IIPMS Delta,4000,1,VIL Reliance Jio,2,4.082315
IN-1092275,RRL,Hingoli,2022-02-23,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Kirloskar,NexGen Delta,4000,1,VIL Reliance Jio,2,4.8978
IN-1055432,RRL,Nashik,2022-02-23,OD with DG,RTT,0,Tubular,15,Hub,3,16,Non AC,OD,DG,10,Mahindra,Delta,4000,2,Airtel,1,2.89395
IN-1093983,RRL,Parbhani,2022-02-23,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,8,NCU,COD,DG,15,Kirloskar,Emerson,3200,1,VIL Reliance Jio,2,3.26832
IN-1100864,RRL,Parbhani,2022-02-23,Natural Cooling with DG,GBT,0,Angular,40,Hub,3,8,NCU,COD,DG,15,Eicher,Delta,4000,2, Airtel VIL Reliance Jio,3,7.127136
IN-1093749,RRL,Parbhani,2022-02-23,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,8,NCU,COD,DG,25,Mahindra,Delta,4000,1, Airtel VIL Reliance Jio,3,4.562075
IN-1237081,RRL,Pune,2022-02-23,Natural Cooling with DG,RTT,0,Tubular,9,Normal,3,20,NCU,COD,DG,15,Mahindra,Delta,4000,2,Airtel VIL,2,7.12536
IN-1257219,RRL,Nanded,2022-02-23,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,8,NCU,COD,DG,15,Supernova,Delta,4000,1,VIL Reliance Jio,2,1.5174
IN-1257218,RRL,Nanded,2022-02-23,OD with DG,GBT,0,Angular,40,Normal,3,16,Non AC,OD,DG,15,Eicher,Emerson,4000,2,VIL Reliance Jio,2,5.7186
IN-1284278,RRL,Yavatmal,2022-02-23,OD with DG,GBT,0,Angular,50,Normal,3,8,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,2,VIL Reliance Jio,2,3.8916
IN-1282307,RRL,Amravati,2022-02-23,OD with DG,GBT,0,Angular,50,Normal,3,8,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,2,VIL BSNL Reliance Jio,3,6.74976
IN-1309372,RRL,Amravati,2022-02-23,OD with DG,GBT,0,Angular,40,Normal,3,14,Non AC,OD,DG,15,Eicher,IIPMS Delta,4000,1,VIL Reliance Jio,2,4.716012
